StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes_Outbound,Routes_Inbound,Total_Routes,Both_Directions,HasSupport
1888,QBT 063,Tân Kỳ Tân Quý,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hoà A,813,Quốc lộ 1A,No,Đang khai thác,106.595519,10.788855,TKTQ 813 Ql1A,151,,1,No,False
7814,Q2 113,Đường Đồng Văn Cống,Trụ dừng,TP. Thủ Đức - KV1,Phường An Phú,Cây xanh 760,Mai Chí Thọ,No,Đang khai thác,106.751516,10.789642,DDVC Cx760 MCT,99,,1,No,False
838,Q7 098,Cầu Thầy Tiêu,Nhà chờ,Quận 7,,Trung tâm truyền hình cáp,Nguyễn Văn Linh,No,Đang khai thác,106.714829,10.728375,CTT Ttthc NVL,,102,1,No,False
638,HBC 364,Dương Đình Cúc,Trụ dừng,Huyện Bình Chánh,Xã Tân Kiên,C3/4,Quốc lộ 1A,No,Đang khai thác,106.598089,10.70706,DDC C Ql1A,"9, 84",102,3,Yes,False
1615,BX34,Bến xe buýt Hiệp Thành,Bến xe,Quận 12,,BẾN XE BUÝT HIỆP THÀNH,Hiệp Thành 17,No,Đang khai thác,106.641739,10.877756,BxbHT BXBHT HT17,146,146,2,Yes,False
394,BX73,Đại học Nông Lâm,Bến xe,TP. Thủ Đức - KV3,,Bến xe buýt ĐH Nông Lâm,Quốc lộ 1,No,Đang khai thác,106.78744506835938,10.868183135986328,DhNL BxbDNL Ql1,6,6,2,Yes,False
375,Q3 105,Sân Phan Đình Phùng,Nhà chờ,Quận 3,,8,Võ Văn Tần,Có,Đang khai thác,106.694402,10.781172,SPDP 8 VVT,,6,1,No,True
1383,HCC 042,Nhà thiếu nhi Củ Chi,Nhà chờ,Huyện Củ Chi,Xã Tân Thông Hội,Nhà thiếu nhi Củ Chi,Quốc lộ 22,Có,Đang khai thác,106.505027,10.959204,NtnCC NtnCC Ql22,,74,1,No,True
439,Q5 026,Đại học Y Dược,Nhà chờ,Quận 5,,217,Hồng Bàng,No,Đang khai thác,106.663191,10.75536,DhYD 217 HB,6,,1,No,False
4130,Q9 165,Ngã ba Tam Đa,Trụ dừng,TP. Thủ Đức - KV2,Phường Long Trường,1610-1612,Nguyễn Duy Trinh,No,Đang khai thác,106.826604,10.807619,NbTD 1610-1612 NDT,88,,1,No,False
3125,HBC 203,Đường liên Ấp 1-2,Trụ dừng,Huyện Bình Chánh,Xã Phạm Văn Hai,A8/240A,Quốc lộ 50,No,Đang khai thác,106.651658,10.663001,DlA1-2 A Ql50,,47,1,No,False
3438,HBC 290,Hoàng My,Trụ dừng,Huyện Bình Chánh,Xã Lê Minh Xuân,Đối diện 3A13,Tỉnh lộ 10 Bình Chánh,No,Đang khai thác,106.527101,10.782816,HM Dd3A13 Tl10BC,,81,1,No,False
999,QTB 109,Trần Quốc Hoàn,Nhà chờ,Quận Tân Bình,,65,Trần Quốc Hoàn,No,Đang khai thác,106.663925,10.803644,TQH 65 TQH,,103,1,No,False
584,QTD 155,Cá sấu Hoa Cà,Nhà chờ,TP. Thủ Đức - KV3,Phường Hiệp Bình Chánh,Trụ chiếu sáng B194,Phạm Văn Đồng,Có,Đang khai thác,106.727916,10.833634,CsHC TcsB PVD,,93,1,No,True
2139,HNB 014,Chùa Bà Châu Đốc 2,Trụ dừng,Huyện Nhà Bè,Xã Phú Xuân,2864,Huỳnh Tấn Phát,No,Đang khai thác,106.76268,10.674752,CBCD2 2864 HTP,20,,1,No,False
696,HBC 272,Bờ Kinh,Trụ dừng,Huyện Bình Chánh,Xã Bình Chánh,Đ/d C13/42D (Đối diện C13/41),Đinh Đức Thiện,No,Đang khai thác,106.576663,10.660903,BK DC(dC DDT,,9,1,No,False
4120,Q9 251,Chùa Kim Linh,Ô sơn,TP. Thủ Đức - KV2,,253,Tăng Nhơn Phú,No,Đang khai thác,106.781557,10.834607,CKL 253 TNP,,99,1,No,False
1766,QGV 019,Bãi hậu cần số 1,Nhà chờ,Quận Gò Vấp,,439,Phan Văn Trị,No,Đang khai thác,106.692106,10.823537,Bhcs1 439 PVT,,161,1,No,False
1305,HHM 034,Ngã 3 Hồng Châu,Trụ dừng,Huyện Hóc Môn,Xã Tân Thới Nhì,28/5 (số cũ 2/63),Quốc lộ 22,No,Đang khai thác,106.576191,10.899733,N3HC 28/5(c2/63) Ql22,74,,1,No,False
1619,QTP 144,Ngã 4 Hòa Bình,Trụ dừng,Quận Tân Phú,Phường Hoà Thạnh,126,Hòa Bình,No,Đang khai thác,106.632839,10.77001,N4HB 126 HB,"62, 69",,2,No,False
1923,QBT 074,Vĩ Phong,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hoà B,136,Quốc lộ 1A,No,Đang khai thác,106.60202,10.821082,VP 136 Ql1A,,151,1,No,False
876,HBC 007,Quốc lộ 50,Trụ dừng,Huyện Bình Chánh,,Cột đèn 138,Nguyễn Văn Linh,No,Đang khai thác,106.656861,10.720896,Ql50 Cd138 NVL,102,,1,No,False
1791,QBT 087,Nhà sách Tân Tạo,Trụ dừng,Quận Bình Tân,Phường Tân Tạo,1024,Quốc lộ 1A,No,Đang khai thác,106.591492,10.758026,NsTT 1024 Ql1A,,151,1,No,False
1491,QTD 049,Chợ Tam Hà,Biển treo,TP. Thủ Đức - KV3,,351-353,Tô Ngọc Vân,No,Đang khai thác,106.747761,10.859586,CTH 351-353 TNV,,141,1,No,False
209,QGV 112,Cầu An Lộc,Trụ dừng,Quận Gò Vấp,,523-525,Nguyễn Oanh,No,Đang khai thác,106.678539,10.848838,CAL 523-525 NO,,161,1,No,False
2922,QTP 057,Lê Đình Thám,Trụ dừng,Quận Tân Phú,,94,Cầu Xéo,No,Đang khai thác,106.623749,10.796659,LDT 94 CX,,41,1,No,False
1127,HNB 049,Bệnh viện Nhân Tâm,Trụ dừng,Huyện Nhà Bè,,Kế 205 (155),Nguyễn Văn Tạo,No,Đang khai thác,106.729415,10.653391,BvNT K205( NVT,,72,1,No,False
4059,Q9 152,Công ty Thành Công,Trụ dừng,TP. Thủ Đức - KV2,,765,Nguyễn Duy Trinh,No,Đang khai thác,106.784459,10.790662,CtTC 765 NDT,,88,1,No,False
140,QBT 010,Kinh Dương Vương,Trụ dừng,Quận Bình Tân,Phường An Lạc,7,Kinh Dương Vương,No,Đang khai thác,106.623162,10.744919,KDV 7 KDV,,"9, 61, 84",3,No,False
3908,HBC 319,Kênh 2,Trụ dừng,Huyện Bình Chánh,Xã Bình Lợi,Đ/d C5/178A (Đối diện Kênh 2),"Vườn Thơm, Bình Chánh",No,Đang khai thác,106.485704,10.75614,K2 DC(dK2) VTBC,,81,1,No,False
