StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes_Outbound,Routes_Inbound,Total_Routes,Both_Directions,HasSupport
1233,HHM 052,Ngân Hàng Aribank,Nhà chờ,Huyện Hóc Môn,Xã Trung Chánh,5/1 (gần đường Nguyễn Thị Sóc),Quốc lộ 22,Có,Đang khai thác,106.601978,10.862546,NHA 5/1(dNTS Ql22,,74,1,No,True
1234,HHM 053,Ngã 3 Củ Cải,Nhà chờ,Huyện Hóc Môn,Xã Xuân Thới Đông,"43/1 (kế 33/5A), 7/2A",Quốc lộ 22,Có,Đang khai thác,106.603324,10.860602,"N3CC 43/1(33/5A),7/2A Ql22",,74,1,No,True
1238,HHM 057,Cư xá Bà Điểm,Nhà chờ,Huyện Hóc Môn,Xã Bà Điểm,3A,Quốc lộ 22,Có,Đang khai thác,106.610641,10.849713,CxBD 3A Ql22,,74,1,No,True
1344,Q1 119,Cầu Ông Lãnh,Nhà chờ,Quận 1,Phường Cầu Ông Lãnh,65G (75),Nguyễn Thái Học,Có,Đang khai thác,106.696011,10.766785,COL 65G( NTH,72,,1,No,True
1383,HCC 042,Nhà thiếu nhi Củ Chi,Nhà chờ,Huyện Củ Chi,Xã Tân Thông Hội,Nhà thiếu nhi Củ Chi,Quốc lộ 22,Có,Đang khai thác,106.505027,10.959204,NtnCC NtnCC Ql22,,74,1,No,True
1384,HCC 049,trường Tân Phú Trung,Nhà chờ,Huyện Củ Chi,,Đối diện Trường Tân Phú Trung,Quốc lộ 22,Có,Đang khai thác,106.540223,10.93918,tTPT DdTTPT Ql22,,74,1,No,True
1387,HCC 038,Trường trung học cơ sở Củ Chi,Nhà chờ,Huyện Củ Chi,Thị trấn Củ Chi,607,Quốc lộ 22,Có,Đang khai thác,106.48903,10.967041,TthcsCC 607 Ql22,,74,1,No,True
1388,HHM 039,Cầu An Hạ,Nhà chờ,Huyện Hóc Môn,Xã Tân Thới Nhì,Giáo xứ Tân Thịnh,Quốc lộ 22,Có,Đang khai thác,106.564212,10.916262,CAH GxTT Ql22,,74,1,No,True
1393,HHM 056,Ngã tư Trung Chánh,Nhà chờ,Huyện Hóc Môn,Xã Trung Chánh,30/10B (kế 30),Quốc lộ 22,Có,Đang khai thác,106.608152,10.853595,NtTC 30/10B(30) Ql22,,74,1,No,True
1400,Q3 016,Bệnh viện Mắt - Bình Dân - Da Liễu,Trụ dừng,Quận 3,,205,Cách Mạng Tháng Tám,Có,Đang khai thác,106.684338,10.776202,BvM-BD-DL 205 CMTT,,65,1,No,True
173,QTP 011,Trạm KCN Tân Bình,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,881,Trường Chinh,Có,Đang khai thác,106.630615,10.819386,TKTB 881 TC,,"4, 62, 65",3,No,True
174,QTP 010,Trạm Dệt Thành Công,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,8,Trường Chinh,Có,Đang khai thác,106.629825,10.822315,TDTC 8 TC,,"4, 41, 62, 65",4,No,True
176,QTP 012,Ngã 3 Chế Lan Viên,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,831 (trước showroom o tô),Trường Chinh,Có,Đang khai thác,106.632377,10.814455,N3CLV 831(sot TC,,"4, 62, 65",3,No,True
198,Q3 055,Điện Biên Phủ,Nhà chờ,Quận 3,,159,Nam Kỳ Khởi Nghĩa,Có,Đang khai thác,106.69099,10.783116,DBP 159 NKKN,,4,1,No,True
2292,QTP 015,Siêu thị BigC,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,1/1,Trường Chinh,Có,Đang khai thác,106.634773,10.806212,StB 1/1 TC,,"62, 65",2,No,True
243,Q3 082,Đại học Kiến Trúc,Nhà chờ,Quận 3,Phường 06,194 D,Pasteur,Có,Đang khai thác,106.694579,10.781804,DhKT 194D P,"4, 93",,2,No,True
244,Q3 083,Điện Biên Phủ,Nhà chờ,Quận 3,Phường 06,214,Pasteur,Có,Đang khai thác,106.692749,10.783419,DBP 214 P,"4, 93",,2,No,True
2563,Q3 015,Công an Quận 3,Nhà chờ,Quận 3,,243,Cách Mạng Tháng Tám,Có,Đang khai thác,106.68246,10.777219,CaQ3 243 CMTT,,65,1,No,True
35,BX 01,Bến xe buýt Sài Gòn,Bến xe,Quận 1,Phường Phạm Ngũ Lão,BẾN XE BUÝT SÀI GÒN,Lê Lai,Có,Đang khai thác,106.689362,10.767676,BxbSG BXBSG LL,"4, 20, 65, 69, 72, 88, 93, 102","4, 20, 65, 69, 72, 88, 93, 102",16,Yes,True
3634,HHM 035,Công ty Sakos,Nhà chờ,Huyện Hóc Môn,Xã Tân Hiệp,186,Quốc lộ 22,Có,Đang khai thác,106.57337,10.903752,CtS 186 Ql22,74,,1,No,True
3648,HCC 014,Điện lực Củ Chi - Ngã 3 Việt Kiều,Nhà chờ,Huyện Củ Chi,Xã Tân Thông Hội,400,Quốc lộ 22,Có,Đang khai thác,106.501617,10.961317,DlCC-N3VK 400 Ql22,74,,1,No,True
375,Q3 105,Sân Phan Đình Phùng,Nhà chờ,Quận 3,,8,Võ Văn Tần,Có,Đang khai thác,106.694402,10.781172,SPDP 8 VVT,,6,1,No,True
377,Q3 106,Bảo tàng chứng tích chiến tranh,Nhà chờ,Quận 3,,28,Võ Văn Tần,Có,Đang khai thác,106.69254,10.779143,Btctct 28 VVT,,6,1,No,True
4424,Q4 015,Hồ Bơi Quận 4,Nhà chờ,Quận 4,,120-122,Khánh Hội,Có,Đang khai thác,106.700705,10.756867,HBQ4 120-122 KH,,72,1,No,True
4726,QGV 024,Chùa Tiên Long,Ô sơn,Quận Gò Vấp,Phường 16,540,Thống Nhất,Có,Đang khai thác,106.66465,10.847995,CTL 540 TN,146,,1,No,True
4735,QGV 051,Chợ Tân Sơn Nhất,Ô sơn,Quận Gò Vấp,,20,Nguyễn Thái Sơn,Có,Đang khai thác,106.677895,10.814627,CTSN 20 NTS,,103,1,No,True
4743,QGV 129,XP Garden,Trụ dừng,Quận Gò Vấp,Phường 01,211,Dương Quãng Hàm,Có,Đang khai thác,106.683458,10.836172,XG 211 DQH,,146,1,No,True
4744,QGV 022,UBND Phường 16,Trụ dừng,Quận Gò Vấp,Phường 16,328,Thống Nhất,Có,Đang khai thác,106.664811,10.842126,UP16 328 TN,146,,1,No,True
4745,QGV 160,Chùa Huỳnh Kim,Trụ dừng,Quận Gò Vấp,Phường 01,548,Quang Trung,Có,Đang khai thác,106.663368,10.835203,CHK 548 QT,103,,1,No,True
4748,QTB 156,Ngã ba Kênh Nhật Bản - Hồng Hà,Nhà chờ,Quận Tân Bình,Phường 01,Giữa công viên Gia Định,Hồng Hà,Có,Đang khai thác,106.674371,10.813732,NbKNB-HH GcvGD HH,103,,1,No,True
4749,QTB 157,Vòng xoay Nguyễn Thái Sơn,Nhà chờ,Quận Tân Bình,,Vòng xoay Nguyễn Thái Sơn,Hồng Hà,Có,Đang khai thác,106.677616,10.814006,VxNTS VxNTS HH,103,,1,No,True
4750,HHM 021,Công ty Lộc Ích,Nhà chờ,Huyện Hóc Môn,Xã Bà Điểm,Đối diện Công ty Lộc Ích,Quốc lộ 1A,Có,Đang khai thác,106.6034,10.827568,CtLÍ DdCtLÍ Ql1A,,151,1,No,True
4754,QGV 111,Cầu An Lộc,Trụ dừng,Quận Gò Vấp,Phường 06,604,Nguyễn Oanh,Có,Đang khai thác,106.678802,10.849117,CAL 604 NO,161,,1,No,True
4759,HHM 047,Công ty Khánh Đông,Nhà chờ,Huyện Hóc Môn,Xã Xuân Thới Sơn,5A,Quốc lộ 22,Có,Đang khai thác,106.58927,10.880337,CtKD 5A Ql22,,74,1,No,True
4760,Q4 005,Chùa Giác Nguyên,Trụ dừng,Quận 4,Phường 01,93,41,Có,Đang khai thác,106.701434,10.759296,CGN 93 41,,44,1,No,True
4763,Q6 005,Coop mart Phú Lâm,Nhà chờ,Quận 6,,Đối diện 35,Bà Hom,Có,Đang khai thác,106.633472,10.754311,CmPL Dd35 BH,81,,1,No,True
4764,Q6 006,Chợ Phú Lâm,Trụ dừng,Quận 6,Phường 01,64A3-64A4,Bà Hom,Có,Đang khai thác,106.630307,10.754933,CPL 64A3-64A4 BH,81,,1,No,True
4765,Q6 007,Y tế Dự phòng,Trụ dừng,Quận 6,Phường 01,100-102,Bà Hom,Có,Đang khai thác,106.628838,10.755223,YtDp 100-102 BH,81,,1,No,True
4766,Q6 008,Ngã tư Cây Da Sà,Trụ dừng,Quận 6,Phường 01,248-250,Bà Hom,Có,Đang khai thác,106.625941,10.755802,NtCDS 248-250 BH,81,,1,No,True
4767,Q6 009,Ngã tư Cây Da Sà,Trụ dừng,Quận 6,Phường 01,263-265,Bà Hom,Có,Đang khai thác,106.625603,10.75566,NtCDS 263-265 BH,,81,1,No,True
4768,Q6 010,Y tế Dự phòng,Trụ dừng,Quận 6,Phường 01,171-173,Bà Hom,Có,Đang khai thác,106.628441,10.755101,YtDp 171-173 BH,,81,1,No,True
4769,Q6 011,Chợ Phú Lâm,Trụ dừng,Quận 6,Phường 01,109,Bà Hom,Có,Đang khai thác,106.631069,10.754611,CPL 109 BH,,81,1,No,True
4770,Q6 012,CoopMart Phú Lâm,Trụ dừng,Quận 6,Phường 01,65-71,Bà Hom,Có,Đang khai thác,106.632754,10.754348,CPL 65-71 BH,,81,1,No,True
4771,Q6 021,Vành Đai,Ô sơn,Quận 6,Phường 10,72-74,Vành Đai,Có,Đang khai thác,106.62526,10.732149,VD 72-74 VD,61,,1,No,True
4772,Q6 022,Vành Đai,Trụ dừng,Quận 6,Phường 10,Đối diện 122,Vành Đai,Có,Đang khai thác,106.62439,10.732729,VD Dd122 VD,,61,1,No,True
4774,Q6 063,Nguyễn Thị Nhỏ,Biển treo,Quận 6,Phường 01,14-16,Nguyễn Thị Nhỏ,Có,Đang khai thác,106.650585,10.751802,NTN 14-16 NTN,103,,1,No,True
524,QTD 119,Đường số 20,Nhà chờ,TP. Thủ Đức - KV3,Phường Hiệp Bình Chánh,Đối diện 216 - Gigamall ,Phạm Văn Đồng,Có,Đang khai thác,106.721032,10.827878,Ds20 Dd216-G PVD,93,,1,No,True
525,QTD 120,Chùa Ưu Đàm,Nhà chờ,TP. Thủ Đức - KV3,Phường Hiệp Bình Chánh,Khu dân cư Opal Tower,Phạm Văn Đồng,Có,Đang khai thác,106.72476,10.830679,CUD KdcOT PVD,93,,1,No,True
526,QTD 121,Cá sấu Hoa cà,Nhà chờ,TP. Thủ Đức - KV3,Phường Hiệp Bình Chánh,Đối diện Cá sấu Hoa Cà,Phạm Văn Đồng,Có,Đang khai thác,106.728331,10.833606,CsHc DdCsHC PVD,93,,1,No,True
527,QTD 122,THCS Ngô Chí Quốc,Nhà chờ,TP. Thủ Đức - KV3,Phường Hiệp Bình Chánh,412,Phạm Văn Đồng,Có,Đang khai thác,106.730713,10.83555,TNCQ 412 PVD,93,,1,No,True
