trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
T000001,05:00:00,05:00:30,33,1,,0,0,
T000001,05:01:17,05:01:47,79,2,,0,0,
T000001,05:02:35,05:03:05,76,3,,0,0,
T000001,05:03:53,05:04:23,3691,4,,0,0,
T000001,05:05:11,05:05:41,2028,5,,0,0,
T000001,05:06:28,05:06:58,4223,6,,0,0,
T000001,05:07:46,05:08:16,120,7,,0,0,
T000001,05:09:04,05:09:34,121,8,,0,0,
T000001,05:10:22,05:10:52,122,9,,0,0,
T000001,05:11:40,05:12:10,123,10,,0,0,
T000001,05:12:57,05:13:27,124,11,,0,0,
T000001,05:14:15,05:14:45,125,12,,0,0,
T000001,05:15:33,05:16:03,126,13,,0,0,
T000001,05:16:51,05:17:21,127,14,,0,0,
T000001,05:18:08,05:18:38,128,15,,0,0,
T000001,05:19:26,05:19:56,129,16,,0,0,
T000001,05:20:44,05:21:14,130,17,,0,0,
T000001,05:22:02,05:22:32,131,18,,0,0,
T000001,05:23:20,05:23:50,134,19,,0,0,
T000001,05:24:37,05:25:07,132,20,,0,0,
T000001,05:25:55,05:26:25,14,21,,0,0,
T000001,05:27:13,05:27:43,136,22,,0,0,
T000001,05:28:31,05:29:01,133,23,,0,0,
T000001,05:29:48,05:30:18,135,24,,0,0,
T000001,05:31:06,05:31:36,137,25,,0,0,
T000001,05:32:24,05:32:54,138,26,,0,0,
T000001,05:33:42,05:34:12,139,27,,0,0,
T000001,05:35:00,05:35:30,8,28,,0,0,
T000002,05:00:00,05:00:30,8,1,,0,0,
T000002,05:01:05,05:01:35,2393,2,,0,0,
T000002,05:02:11,05:02:41,2,3,,0,0,
T000002,05:03:16,05:03:46,3,4,,0,0,
T000002,05:04:22,05:04:52,5,5,,0,0,
T000002,05:05:28,05:05:58,4,6,,0,0,
T000002,05:06:33,05:07:03,7,7,,0,0,
T000002,05:07:39,05:08:09,9,8,,0,0,
T000002,05:08:45,05:09:15,12,9,,0,0,
T000002,05:09:50,05:10:20,6,10,,0,0,
T000002,05:10:56,05:11:26,10,11,,0,0,
T000002,05:12:01,05:12:31,3166,12,,0,0,
T000002,05:13:07,05:13:37,3519,13,,0,0,
T000002,05:14:13,05:14:43,3521,14,,0,0,
T000002,05:15:18,05:15:48,15,15,,0,0,
T000002,05:16:24,05:16:54,19,16,,0,0,
T000002,05:17:30,05:18:00,20,17,,0,0,
T000002,05:18:35,05:19:05,18,18,,0,0,
T000002,05:19:41,05:20:11,22,19,,0,0,
T000002,05:20:46,05:21:16,21,20,,0,0,
T000002,05:21:52,05:22:22,23,21,,0,0,
T000002,05:22:58,05:23:28,24,22,,0,0,
T000002,05:24:03,05:24:33,25,23,,0,0,
T000002,05:25:09,05:25:39,26,24,,0,0,
T000002,05:26:15,05:26:45,27,25,,0,0,
T000002,05:27:20,05:27:50,7266,26,,0,0,
T000002,05:28:26,05:28:56,7693,27,,0,0,
T000002,05:29:31,05:30:01,1256,28,,0,0,
T000002,05:30:37,05:31:07,7588,29,,0,0,
T000002,05:31:43,05:32:13,32,30,,0,0,
T000002,05:32:48,05:33:18,31,31,,0,0,
T000002,05:33:54,05:34:24,34,32,,0,0,
T000002,05:35:00,05:35:30,33,33,,0,0,
T000003,05:00:00,05:00:30,35,1,,0,0,
T000003,05:01:31,05:02:01,7276,2,,0,0,
T000003,05:03:02,05:03:32,7277,3,,0,0,
T000003,05:04:33,05:05:03,7278,4,,0,0,
T000003,05:06:05,05:06:35,7266,5,,0,0,
